replicate,p1_mean,p2_mean,h_mean,p1_sd,p2_sd,h_sd,p1_cv,p2_cv,h_cv,linkage,gene_action,p1_af,p2_af,esize,ss,ns
1,0.686,0.283,0.492,0.115634893399132,0.100310741687813,0.0911155355377256,0.168563984546839,0.354454917624782,0.185194177922206,unlinked,additive,0.7,0.3,esize0.1,noss,nons
2,0.698,0.299,0.504,0.0979170827896788,0.100757336290349,0.0891227083456127,0.140282353566875,0.336981057827255,0.176830770527009,unlinked,additive,0.7,0.3,esize0.1,noss,nons
3,0.69,0.332,0.525,0.102519286388624,0.0924496553563625,0.107023743312655,0.148578675925542,0.278462817338441,0.203854749166962,unlinked,additive,0.7,0.3,esize0.1,noss,nons
4,0.71,0.295,0.489,0.114285714285714,0.0980680729838999,0.111249856684154,0.160965794768612,0.332434145708135,0.227504819394999,unlinked,additive,0.7,0.3,esize0.1,noss,nons
5,0.67,0.312,0.465,0.129362644830535,0.106215030259663,0.110310322939146,0.193078574373932,0.340432789293793,0.237226500944401,unlinked,additive,0.7,0.3,esize0.1,noss,nons
6,0.703,0.286,0.493,0.0917016012590259,0.0886635465667594,0.0920348203848158,0.130443245034176,0.310012400583075,0.186683205648714,unlinked,additive,0.7,0.3,esize0.1,noss,nons
7,0.703,0.291,0.465,0.0991854581178149,0.0855295628566461,0.0899262736572441,0.141088845117802,0.293916023562358,0.19338983582203,unlinked,additive,0.7,0.3,esize0.1,noss,nons
8,0.664,0.303,0.496,0.109283379993744,0.11579802966143,0.097331749125119,0.164583403605037,0.382171715054224,0.196233365171611,unlinked,additive,0.7,0.3,esize0.1,noss,nons
9,0.682,0.301,0.468,0.103883765501131,0.0765919482100583,0.0855713093249825,0.152322236805177,0.25445829970119,0.182844678044834,unlinked,additive,0.7,0.3,esize0.1,noss,nons
10,0.693,0.314,0.509,0.0886462817342393,0.0989949493661167,0.096727051278221,0.12791671245922,0.315270539382537,0.190033499564285,unlinked,additive,0.7,0.3,esize0.1,noss,nons
11,0.689,0.294,0.485,0.0954527343233075,0.103332236114429,0.110771874423363,0.13853807594094,0.351470190865406,0.228395617367759,unlinked,additive,0.7,0.3,esize0.1,noss,nons
12,0.698,0.299,0.482,0.102000400159279,0.0933995149224829,0.0929998902786274,0.146132378451689,0.312372959606966,0.192945830453584,unlinked,additive,0.7,0.3,esize0.1,noss,nons
13,0.69,0.306,0.498,0.108796758655199,0.099303698268473,0.0963412302862135,0.157676461819129,0.324521889766252,0.193456285715288,unlinked,additive,0.7,0.3,esize0.1,noss,nons
14,0.706,0.301,0.534,0.0972268544409917,0.0992266011075001,0.125941353374481,0.137715091276192,0.329656482084718,0.235845231038354,unlinked,additive,0.7,0.3,esize0.1,noss,nons
15,0.689,0.298,0.477,0.0927416864638727,0.0826598636656539,0.0926976652503025,0.134603318525214,0.277382092837765,0.194334727988056,unlinked,additive,0.7,0.3,esize0.1,noss,nons
16,0.68,0.343,0.54,0.119522860933439,0.107859508015695,0.104490991702341,0.175768913137411,0.314459207042842,0.193501836485817,unlinked,additive,0.7,0.3,esize0.1,noss,nons
17,0.706,0.302,0.539,0.11141025490483,0.0984367610111555,0.107991874221902,0.157804893632904,0.325949539772038,0.200355981858817,unlinked,additive,0.7,0.3,esize0.1,noss,nons
18,0.701,0.318,0.521,0.108557329911669,0.107741186485513,0.0875342498566086,0.154860670344749,0.33880876253306,0.168011995886005,unlinked,additive,0.7,0.3,esize0.1,noss,nons
19,0.693,0.301,0.496,0.123308969831137,0.096092005231381,0.0968061391205567,0.177935021401353,0.319242542296947,0.195173667581767,unlinked,additive,0.7,0.3,esize0.1,noss,nons
20,0.696,0.258,0.482,0.103430939199417,0.0991597350804473,0.101900311429297,0.14860767126353,0.384340058451346,0.211411434500617,unlinked,additive,0.7,0.3,esize0.1,noss,nons
21,0.713,0.305,0.515,0.0999030141932562,0.101141444703616,0.10461298939912,0.140116429443557,0.331611294110218,0.203132018250719,unlinked,additive,0.7,0.3,esize0.1,noss,nons
22,0.716,0.301,0.504,0.091718290967283,0.0848107136089371,0.0930437685024788,0.128098171742015,0.281763168136004,0.184610651790632,unlinked,additive,0.7,0.3,esize0.1,noss,nons
23,0.699,0.298,0.498,0.091746100400919,0.099979589753844,0.111098411972706,0.131253362519197,0.335501979039745,0.223089180668085,unlinked,additive,0.7,0.3,esize0.1,noss,nons
24,0.704,0.327,0.524,0.118166261285201,0.113033316381697,0.110305697671405,0.167849802961934,0.345667634194793,0.21050705662482,unlinked,additive,0.7,0.3,esize0.1,noss,nons
25,0.693,0.312,0.473,0.094226171675238,0.106215030259663,0.0959432230061943,0.13596850169587,0.340432789293793,0.2028397949391,unlinked,additive,0.7,0.3,esize0.1,noss,nons
26,0.716,0.286,0.494,0.0894655332105782,0.103035559544326,0.0860943952761106,0.124951862025947,0.360264194210928,0.174280152380791,unlinked,additive,0.7,0.3,esize0.1,noss,nons
27,0.691,0.299,0.474,0.0988144003386435,0.0894940426702771,0.0840553753334609,0.143002026539282,0.299311179499255,0.177332015471436,unlinked,additive,0.7,0.3,esize0.1,noss,nons
