replicate,p1_mean,p2_mean,h_mean,p1_sd,p2_sd,h_sd,p1_cv,p2_cv,h_cv,linkage,gene_action,p1_af,p2_af,esize,ss,ns
1,0.784,0.2,0.511,0.0981668716720542,0.0868966075756888,0.0916348120285637,0.125212846520477,0.434483037878444,0.179324485378794,unlinked,additive,0.8,0.2,esize0.1,noss,nons
2,0.813,0.235,0.547,0.0837939650060109,0.0980680729838999,0.106142953278172,0.10306760763347,0.417310948867659,0.194045618424446,unlinked,additive,0.8,0.2,esize0.1,noss,nons
3,0.788,0.198,0.475,0.109990723170972,0.0874584449429369,0.0970219836229009,0.139582136003772,0.441709317893621,0.20425680762716,unlinked,additive,0.8,0.2,esize0.1,noss,nons
4,0.802,0.181,0.509,0.0775649826314184,0.0897217922246318,0.0760571750563418,0.0967144421838135,0.495700509528353,0.14942470541521,unlinked,additive,0.8,0.2,esize0.1,noss,nons
5,0.785,0.211,0.516,0.101141444703616,0.0809950867746473,0.0859757915618919,0.128842604717983,0.383862970495959,0.166619751088938,unlinked,additive,0.8,0.2,esize0.1,noss,nons
6,0.782,0.2,0.498,0.0855713093249825,0.0814411017927956,0.0920070982177407,0.10942622675829,0.407205508963978,0.184753209272572,unlinked,additive,0.8,0.2,esize0.1,noss,nons
7,0.806,0.207,0.508,0.0836903915192961,0.0851229602830337,0.0882713811758595,0.103834232654213,0.41122203035282,0.173762561369802,unlinked,additive,0.8,0.2,esize0.1,noss,nons
8,0.821,0.203,0.503,0.100045907829703,0.0865495021737885,0.0724287123131907,0.121858596625704,0.426352227457086,0.143993463843321,unlinked,additive,0.8,0.2,esize0.1,noss,nons
9,0.786,0.188,0.503,0.0989949493661167,0.0773014243341068,0.0911435288824328,0.125947772730428,0.411177789011206,0.181199858613186,unlinked,additive,0.8,0.2,esize0.1,noss,nons
10,0.807,0.185,0.504,0.0963677056584702,0.0870432686210996,0.085618994650124,0.119414752984474,0.470504154708646,0.169878957639135,unlinked,additive,0.8,0.2,esize0.1,noss,nons
11,0.804,0.189,0.5,0.0885483840989242,0.0876507447841973,0.0925820099772552,0.110134806093189,0.463760554413742,0.18516401995451,unlinked,additive,0.8,0.2,esize0.1,noss,nons
12,0.793,0.195,0.488,0.0953029541054446,0.0948952161113316,0.0872247858427071,0.120180269994256,0.486642133904265,0.178739315251449,unlinked,additive,0.8,0.2,esize0.1,noss,nons
13,0.786,0.199,0.484,0.0958527782698072,0.0798531816037714,0.0817162836918577,0.121950099579907,0.401272269365685,0.168835296884003,unlinked,additive,0.8,0.2,esize0.1,noss,nons
14,0.798,0.203,0.517,0.0903281997687842,0.0724287123131907,0.0766718424753927,0.113193232792963,0.356791686271875,0.148301436122616,unlinked,additive,0.8,0.2,esize0.1,noss,nons
15,0.803,0.172,0.484,0.0911435288824328,0.0796420563700934,0.0922728872111722,0.113503771958198,0.463035211454032,0.190646461180108,unlinked,additive,0.8,0.2,esize0.1,noss,nons
