replicate,p1_mean,p2_mean,h_mean,p1_sd,p2_sd,h_sd,p1_cv,p2_cv,h_cv,linkage,gene_action,p1_af,p2_af,esize,ss,ns
1,0.491,0.48,0.501,0.125230399908427,0.117369119465393,0.10713809513227,0.255051730974393,0.244518998886235,0.213848493277985,unlinked,additive,0.5,0.5,esize0.1,noss,nons
2,0.513,0.516,0.535,0.0999030141932562,0.0960654538768825,0.0970219836229009,0.194742717725646,0.186173360226516,0.18134950209888,unlinked,additive,0.5,0.5,esize0.1,noss,nons
3,0.498,0.506,0.538,0.0941990944104831,0.130007849056611,0.0872247858427071,0.189154808053179,0.256932508017018,0.162127854726221,unlinked,additive,0.5,0.5,esize0.1,noss,nons
4,0.508,0.505,0.513,0.10515294982616,0.122161652689193,0.133175501822649,0.206993995720787,0.241904262750878,0.259601368075338,unlinked,additive,0.5,0.5,esize0.1,noss,nons
5,0.479,0.511,0.504,0.107423442126788,0.139346140738721,0.128110284122545,0.224266058719808,0.27269303471374,0.254187071671716,unlinked,additive,0.5,0.5,esize0.1,noss,nons
6,0.492,0.503,0.499,0.104178026591454,0.110845544312244,0.121843827776982,0.211743956486696,0.220368875372254,0.244176007569103,unlinked,additive,0.5,0.5,esize0.1,noss,nons
7,0.518,0.531,0.547,0.0988505365257497,0.108274971197203,0.0785129652623419,0.190831151594111,0.203907667038047,0.143533757335177,unlinked,additive,0.5,0.5,esize0.1,noss,nons
8,0.5,0.505,0.515,0.089784322071261,0.0985869552988733,0.0954313515420528,0.179568644142522,0.195221693661135,0.185303595227287,unlinked,additive,0.5,0.5,esize0.1,noss,nons
9,0.499,0.514,0.51,0.101262439397108,0.11113514479301,0.108326792057879,0.202930740274766,0.216216235005856,0.212405474623293,unlinked,additive,0.5,0.5,esize0.1,noss,nons
10,0.481,0.496,0.454,0.106851986124618,0.0988918188564387,0.107779063507772,0.222145501298582,0.199378667049272,0.237398818299056,unlinked,additive,0.5,0.5,esize0.1,noss,nons
