replicate,p1_mean,p2_mean,h_mean,p1_sd,p2_sd,h_sd,p1_cv,p2_cv,h_cv,linkage,gene_action,p1_af,p2_af,esize,ss,ns
35,0.602,0.392,0.502,0.105443669069977,0.113101002359368,0.11246768243294,0.175155596461755,0.288522965202471,0.224039208033746,unlinked,additive,0.6,0.4,esize0.1,noss,nons
36,0.593,0.399,0.495,0.111579568022107,0.0955595764591976,0.115727512471569,0.188161160239641,0.239497685361397,0.233792954488018,unlinked,additive,0.6,0.4,esize0.1,noss,nons
37,0.569,0.396,0.508,0.117321292672241,0.107779063507772,0.11264899430695,0.206188563571602,0.272169352292352,0.221749988793209,unlinked,additive,0.6,0.4,esize0.1,noss,nons
38,0.609,0.387,0.503,0.0956662992716167,0.104885749309252,0.123060462988811,0.15708751932942,0.271022608034243,0.244653007930041,unlinked,additive,0.6,0.4,esize0.1,noss,nons
39,0.608,0.418,0.493,0.117090580669978,0.110083456281763,0.115179540416743,0.192583191891411,0.263357550913308,0.233629899425443,unlinked,additive,0.6,0.4,esize0.1,noss,nons
40,0.626,0.412,0.537,0.116163150572892,0.0939821954479916,0.0935741548130657,0.185564138295355,0.228112124873766,0.174253547137925,unlinked,additive,0.6,0.4,esize0.1,noss,nons
41,0.6,0.39,0.517,0.100508909139073,0.119948968741048,0.115886115806574,0.167514848565122,0.307561458310379,0.224151094403431,unlinked,additive,0.6,0.4,esize0.1,noss,nons
42,0.591,0.391,0.497,0.109119855467018,0.0913001329994337,0.106142953278172,0.184635965257221,0.23350417646914,0.213567310418858,unlinked,additive,0.6,0.4,esize0.1,noss,nons
43,0.584,0.396,0.504,0.125535587278944,0.122407816210354,0.102936477340868,0.214958197395452,0.309110646995843,0.204239042342991,unlinked,additive,0.6,0.4,esize0.1,noss,nons
44,0.63,0.384,0.495,0.105945692672795,0.101237244094438,0.132576508523361,0.168167766147294,0.263638656495931,0.267831330350225,unlinked,additive,0.6,0.4,esize0.1,noss,nons
45,0.59,0.396,0.508,0.112031336723987,0.106349443259627,0.120101997468478,0.189883621566079,0.268559200150574,0.236421254859209,unlinked,additive,0.6,0.4,esize0.1,noss,nons
46,0.57,0.412,0.488,0.0989743318610787,0.121032969028429,0.108590223937028,0.173639178703647,0.293769342302013,0.222520950690631,unlinked,additive,0.6,0.4,esize0.1,noss,nons
47,0.596,0.413,0.489,0.111958447102267,0.109642275475423,0.119219399873185,0.187849743460179,0.265477664589402,0.243802453728395,unlinked,additive,0.6,0.4,esize0.1,noss,nons
48,0.601,0.407,0.549,0.108557329911669,0.123722038688113,0.107613253109912,0.180627836791463,0.303985353042046,0.196016854480714,unlinked,additive,0.6,0.4,esize0.1,noss,nons
49,0.621,0.392,0.521,0.115656952286687,0.110822527732683,0.101060701096531,0.186243079366645,0.282710529930313,0.193974474273573,unlinked,additive,0.6,0.4,esize0.1,noss,nons
50,0.612,0.415,0.505,0.0966584561373558,0.10412414097938,0.107499406737803,0.157938653819209,0.250901544528627,0.212870112352085,unlinked,additive,0.6,0.4,esize0.1,noss,nons
51,0.606,0.399,0.486,0.105772184916644,0.105216007162719,0.094782242373705,0.17454155926839,0.263699266071977,0.195025190069352,unlinked,additive,0.6,0.4,esize0.1,noss,nons
52,0.584,0.384,0.495,0.107114281903746,0.120135977380735,0.100127469777687,0.183414866273537,0.312854107762331,0.2022777167226,unlinked,additive,0.6,0.4,esize0.1,noss,nons
53,0.573,0.39,0.47,0.115268099203021,0.0936776932043143,0.112485826771597,0.2011659671955,0.240199213344396,0.239331546322547,unlinked,additive,0.6,0.4,esize0.1,noss,nons
54,0.602,0.381,0.478,0.0999795897538439,0.12652740285594,0.109339389246585,0.166079052747249,0.332092920881733,0.228743492147668,unlinked,additive,0.6,0.4,esize0.1,noss,nons
55,0.603,0.389,0.456,0.114468603662707,0.113968309236402,0.099303698268473,0.18983184687016,0.292977658705403,0.217771268132616,unlinked,additive,0.6,0.4,esize0.1,noss,nons
56,0.623,0.399,0.499,0.102125373128986,0.113609607239629,0.105699805958156,0.163925157510412,0.284735857743432,0.211823258433178,unlinked,additive,0.6,0.4,esize0.1,noss,nons
57,0.638,0.39,0.509,0.100285307284481,0.112031336723987,0.111890069957535,0.157187002013294,0.287259837753812,0.219823320152328,unlinked,additive,0.6,0.4,esize0.1,noss,nons
58,0.595,0.373,0.513,0.106066017177982,0.120462543928791,0.0993910027546328,0.178262213744508,0.322955881846625,0.193744644745873,unlinked,additive,0.6,0.4,esize0.1,noss,nons
59,0.607,0.379,0.492,0.114735721178218,0.112526640836556,0.120101997468478,0.189020957459996,0.296904065531809,0.244109750952192,unlinked,additive,0.6,0.4,esize0.1,noss,nons
60,0.579,0.424,0.527,0.115656952286687,0.113945923443482,0.103119704564102,0.199752940046091,0.268740385479909,0.195673063688999,unlinked,additive,0.6,0.4,esize0.1,noss,nons
61,0.611,0.389,0.49,0.100656011509801,0.0959857557459566,0.0880630571852711,0.164739789705076,0.246750014771097,0.1797205248679,unlinked,additive,0.6,0.4,esize0.1,noss,nons
62,0.574,0.406,0.482,0.11962526523119,0.112775739177089,0.126877733206712,0.208406385420192,0.277772756593815,0.263231811632182,unlinked,additive,0.6,0.4,esize0.1,noss,nons
63,0.598,0.381,0.495,0.110638222719504,0.0978806019847547,0.109846832137355,0.185013750367064,0.256904467151587,0.221912792196677,unlinked,additive,0.6,0.4,esize0.1,noss,nons
64,0.606,0.429,0.539,0.126022349815663,0.109306720670202,0.110790296488088,0.20795767296314,0.254794220676461,0.205547859903688,unlinked,additive,0.6,0.4,esize0.1,noss,nons
65,0.608,0.367,0.493,0.116654032357678,0.102822414772227,0.115621656046516,0.191865184798812,0.280170067499255,0.23452668569273,unlinked,additive,0.6,0.4,esize0.1,noss,nons
66,0.58,0.399,0.484,0.103509833901353,0.0933995149224829,0.103726484918122,0.178465230864402,0.234083997299456,0.214310919252318,unlinked,additive,0.6,0.4,esize0.1,noss,nons
67,0.597,0.382,0.492,0.102723126978916,0.108213696368032,0.0996729345286423,0.172065539328168,0.283281927665006,0.202587265302119,unlinked,additive,0.6,0.4,esize0.1,noss,nons
68,0.599,0.405,0.48,0.102265161542463,0.105583896422103,0.090913729009699,0.170726480037501,0.260700978820009,0.18940360210354,unlinked,additive,0.6,0.4,esize0.1,noss,nons
69,0.606,0.415,0.532,0.127231109018356,0.108444474647778,0.117264744949892,0.209952325112799,0.261311987103081,0.220422452913331,unlinked,additive,0.6,0.4,esize0.1,noss,nons
70,0.608,0.412,0.549,0.111281954823717,0.0950617414835093,0.109493266962878,0.183029530960061,0.230732382241527,0.199441287728375,unlinked,additive,0.6,0.4,esize0.1,noss,nons
71,0.594,0.37,0.507,0.0982707629823991,0.1,0.102524262932225,0.165438994919864,0.27027027027027,0.202217481128648,unlinked,additive,0.6,0.4,esize0.1,noss,nons
72,0.618,0.397,0.534,0.0957036241396813,0.12873402417229,0.105191758814315,0.15486023323573,0.324267063406273,0.196988312386357,unlinked,additive,0.6,0.4,esize0.1,noss,nons
73,0.596,0.416,0.507,0.0978545359402498,0.122657645335232,0.111121371408355,0.164185462986996,0.294850108978924,0.219174302580581,unlinked,additive,0.6,0.4,esize0.1,noss,nons
74,0.607,0.404,0.494,0.112035890750806,0.11510421187705,0.10956313993608,0.184573131385183,0.284911415537252,0.22178773266413,unlinked,additive,0.6,0.4,esize0.1,noss,nons
75,0.615,0.389,0.529,0.107972974698793,0.125067328806103,0.103060315211184,0.175565812518362,0.321509842689211,0.194821011741368,unlinked,additive,0.6,0.4,esize0.1,noss,nons
76,0.618,0.397,0.505,0.103883765501131,0.0911435288824328,0.0840614449709987,0.168096707930632,0.229580677285725,0.166458306873265,unlinked,additive,0.6,0.4,esize0.1,noss,nons
77,0.573,0.422,0.474,0.119185158643249,0.0921179368294486,0.0943506270054764,0.208002022065006,0.218288949832817,0.199051955707756,unlinked,additive,0.6,0.4,esize0.1,noss,nons
78,0.599,0.398,0.511,0.107613253109912,0.109246024538887,0.114415105324999,0.179654846594177,0.274487498841424,0.223904315704499,unlinked,additive,0.6,0.4,esize0.1,noss,nons
79,0.589,0.411,0.49,0.0852906196244251,0.113069420612078,0.0947607082958686,0.144805805813964,0.275108079348122,0.193389200603813,unlinked,additive,0.6,0.4,esize0.1,noss,nons
80,0.626,0.388,0.515,0.100630664373465,0.107646435621626,0.108444474647778,0.160751860021509,0.277439267066046,0.210571795432579,unlinked,additive,0.6,0.4,esize0.1,noss,nons
81,0.603,0.412,0.478,0.107575317706209,0.129188993023273,0.120017005597761,0.17840019520101,0.31356551704678,0.251081601668957,unlinked,additive,0.6,0.4,esize0.1,noss,nons
82,0.606,0.401,0.506,0.101337987719818,0.109026302761662,0.0918294781713611,0.167224402177918,0.271886041799655,0.18148118215684,unlinked,additive,0.6,0.4,esize0.1,noss,nons
